1,1632183637,6441,1312,7754,34916,387086,love
2,816091818,2953,757,3711,34916,387086,love
3,544061212,1520,589,2109,34916,387086,love
4,408045909,1438,504,1942,34916,387086,love
5,326436727,1440,455,1896,34916,387086,love
6,272030606,1394,430,1824,34916,387086,love
7,233169091,1567,449,2017,34916,387086,love
8,204022954,1417,389,1806,34916,387086,love
9,181353737,1476,400,1876,34916,387086,love
10,163218363,1496,390,1887,34916,387086,love
11,148380330,1423,367,1791,34916,387086,love
12,136015303,2232,518,2751,34916,387086,love
13,125552587,1705,368,2074,34916,387086,love
14,116584545,1498,355,1854,34916,387086,love
15,108812242,1401,352,1754,34916,387086,love
16,102011477,1536,348,1885,34916,387086,love
17,96010802,1544,331,1875,34916,387086,love
18,90676868,1534,347,1882,34916,387086,love
19,85904401,1595,342,1937,34916,387086,love
20,81609181,1531,340,1872,34916,387086,love
21,77723030,1482,340,1822,34916,387086,love
22,74190165,1460,330,1791,34916,387086,love
23,70964505,1473,330,1803,34916,387086,love
24,68007651,1387,300,1688,34916,387086,love
25,65287345,1536,336,1872,34916,387086,love
26,62776293,1505,333,1838,34916,387086,love
27,60451245,1531,322,1853,34916,387086,love
28,58292272,1446,323,1769,34916,387086,love
29,56282194,1470,291,1762,34916,387086,love
30,54406121,1477,316,1793,34916,387086,love
31,52651085,1437,313,1751,34916,387086,love
32,51005738,1645,337,1983,34916,387086,love
33,49460110,1620,327,1947,34916,387086,love
34,48005401,1518,330,1848,34916,387086,love
35,46633818,1474,334,1808,34916,387086,love
36,45338434,1484,334,1818,34916,387086,love
37,44113071,1469,282,1752,34916,387086,love
38,42952200,1507,321,1829,34916,387086,love
39,41850862,1387,276,1663,34916,387086,love
40,40804590,1498,322,1820,34916,387086,love
41,39809357,1483,324,1807,34916,387086,love
42,38861515,1472,319,1792,34916,387086,love
43,37957759,1469,323,1793,34916,387086,love
44,37095082,1435,306,1742,34916,387086,love
45,36270747,1401,296,1698,34916,387086,love
46,35482252,1924,424,2348,34916,387086,love
47,34727311,1797,288,2086,34916,387086,love
48,34003825,1407,275,1683,34916,387086,love
49,33309870,1491,304,1796,34916,387086,love
50,32643672,1449,253,1702,34916,387086,love
51,32003600,1301,294,1595,34916,387086,love
52,31388146,1336,263,1599,34916,387086,love
53,30795917,1349,254,1603,34916,387086,love
54,30225622,1474,308,1783,34916,387086,love
55,29676066,1450,295,1746,34916,387086,love
56,29146136,1410,317,1728,34916,387086,love
57,28634800,1354,298,1653,34916,387086,love
58,28141097,1355,261,1616,34916,387086,love
59,27664129,1420,299,1719,34916,387086,love
60,27203060,1545,304,1849,34916,387086,love
61,26757108,1414,303,1718,34916,387086,love
62,26325542,1407,261,1668,34916,387086,love
63,25907676,1361,251,1613,34916,387086,love
64,25502869,1426,285,1711,34916,387086,love
65,25110517,1487,314,1802,34916,387086,love
66,24730055,1435,300,1736,34916,387086,love
67,24360949,1396,291,1687,34916,387086,love
68,24002700,1329,309,1639,34916,387086,love
69,23654835,1422,322,1744,34916,387086,love
70,23316909,2226,298,2525,34916,387086,love
71,22988501,1477,291,1769,34916,387086,love
72,22669217,1429,318,1748,34916,387086,love
73,22358679,1250,292,1542,34916,387086,love
74,22056535,1381,313,1694,34916,387086,love
75,21762448,1218,240,1459,34916,387086,love
76,21476100,1441,296,1738,34916,387086,love
77,21197190,1485,294,1780,34916,387086,love
78,20925431,1404,291,1696,34916,387086,love
79,20660552,1358,246,1605,34916,387086,love
80,20402295,1346,291,1638,34916,387086,love
81,20150415,1278,269,1547,34916,387086,love
82,19904678,1251,280,1531,34916,387086,love
83,19664863,1161,251,1412,34916,387086,love
84,19430757,1234,234,1469,34916,387086,love
85,19202160,1230,284,1514,34916,387086,love
86,18978879,1239,311,1550,34916,387086,love
87,18760731,1202,231,1434,34916,387086,love
88,18547541,4864,303,5168,34916,387086,love
89,18339141,3286,302,3589,34916,387086,love
90,18135373,1250,272,1522,34916,387086,love
91,17936083,1214,298,1513,34916,387086,love
92,17741126,1144,258,1403,34916,387086,love
93,17550361,1381,273,1654,34916,387086,love
94,17363655,1255,281,1536,34916,387086,love
95,17180880,1291,294,1586,34916,387086,love
96,17001912,1187,308,1496,34916,387086,love
97,16826635,1297,279,1576,34916,387086,love
98,16654935,1279,292,1571,34916,387086,love
99,16486703,1987,245,2232,34916,387086,love
100,16321836,2813,276,3089,34916,387086,love