num_threads,len_block,processing_time,threads_time,overall_time,count_hate,count_love,most_common
1,1691455052,2966,1495,4461,98427,899689,love
2,845727526,3686,830,4517,98327,891273,love
3,563818350,1777,630,2407,98257,881048,love
4,422863763,1570,546,2116,98038,881156,love
5,338291010,1591,487,2078,98174,877964,love
6,281909175,1520,435,1956,98103,878860,love
7,241636436,1621,547,2168,98214,882390,love
8,211431881,1799,399,2198,98146,878275,love
9,187939450,1612,392,2004,98215,876095,love
10,169145505,1503,442,1946,98168,878675,love
11,153768641,1454,394,1849,98056,883567,love
12,140954587,1533,482,2015,98221,876350,love
13,130111927,1563,370,1934,98095,876674,love
14,120818218,1520,344,1865,98148,883239,love
15,112763670,2068,453,2521,98106,869127,love
16,105715940,2422,336,2759,98119,882330,love
17,99497356,2127,476,2604,98212,886797,love
18,93969725,2323,382,2705,98174,879416,love
19,89023950,1681,327,2009,98182,875145,love
20,84572752,1511,303,1814,98166,880774,love
21,80545478,1454,307,1761,98176,877425,love
22,76884320,1754,321,2076,98183,837041,love
23,73541524,2173,411,2585,98053,881592,love
24,70477293,2235,369,2605,98202,880720,love
25,67658202,1878,387,2266,98200,881423,love
26,65055963,1531,374,1905,98109,880780,love
27,62646483,1562,366,1928,98082,878476,love
28,60409109,1567,408,1976,98149,884551,love
29,58326036,1799,319,2119,98137,875913,love
30,56381835,1664,353,2018,98065,879564,love
31,54563066,1913,404,2318,98060,881532,love
32,52857970,1645,311,1956,98071,879916,love
33,51256213,1761,344,2106,98107,875741,love
34,49748678,1564,285,1850,98116,882509,love
35,48327287,1703,301,2005,98185,881904,love
36,46984862,1485,331,1817,98148,883065,love
37,45715001,2244,352,2597,98019,880515,love
38,44511975,1580,369,1950,98195,876115,love
39,43370642,1465,373,1838,98188,868654,love
40,42286376,2382,312,2695,98107,874906,love
41,41255001,1546,299,1846,98142,882037,love
42,40272739,1523,314,1838,98065,880167,love
43,39336164,1794,305,2100,98049,878196,love
44,38442160,1614,280,1895,98175,883480,love
45,37587890,2026,291,2317,98164,882007,love
46,36770762,1677,281,1958,98178,882047,love
47,35988405,1603,370,1973,98205,884382,love
48,35238646,1579,361,1941,98183,880376,love
49,34519490,1610,326,1936,98210,874136,love
50,33829101,1490,396,1887,97773,879668,love
51,33165785,1401,319,1721,97954,878660,love
52,32527981,1272,248,1521,98090,875143,love
53,31914246,1469,249,1718,98019,865794,love
54,31323241,1375,240,1616,97998,877129,love
55,30753728,1322,304,1627,98048,778630,love
56,30204554,1213,357,1571,93303,866730,love
57,29674650,1232,245,1477,98056,857419,love
58,29163018,1336,292,1629,97888,868372,love
59,28668729,1254,301,1556,98102,850019,love
60,28190917,1212,242,1454,98022,874630,love
61,27728771,1262,241,1503,97870,879066,love
62,27281533,1294,352,1647,97961,870503,love
63,26848492,1210,359,1569,98157,878000,love
64,26428985,1188,261,1449,97860,745079,love
65,26022385,1323,247,1570,98122,876826,love
66,25628106,1319,350,1669,98044,786330,love
67,25245597,1278,290,1569,98122,816036,love
68,24874339,1187,323,1511,94230,827570,love
69,24513841,1296,242,1539,98062,881530,love
70,24163643,1224,338,1562,97268,846062,love
71,23823310,1207,239,1447,97915,815268,love
72,23492431,1164,239,1403,98065,873085,love
73,23170617,1372,352,1725,98073,774060,love
74,22857500,1267,345,1613,98013,856200,love
75,22552734,1209,238,1447,97968,874550,love
76,22255987,1409,242,1651,98097,867644,love
77,21966948,1402,240,1642,97529,879077,love
78,21685321,1305,372,1678,97909,875954,love
79,21410823,1208,358,1566,98145,817845,love
80,21143188,1247,239,1487,97847,848959,love
81,20882161,1355,296,1651,98097,878311,love
82,20627500,1241,295,1536,98020,875251,love
83,20378976,1210,246,1457,98164,881553,love
84,20136369,1298,243,1542,98047,798086,love
85,19899471,1299,368,1667,98125,809919,love
86,19668082,1272,350,1623,97710,850782,love
87,19442012,1193,253,1447,97708,796426,love
88,19221080,1183,237,1420,98025,778396,love
89,19005112,1324,330,1655,98081,866993,love
90,18793945,1778,244,2023,98121,841229,love
91,18587418,1257,236,1494,98056,880187,love
92,18385381,1168,247,1415,98068,880257,love
93,18187688,1343,239,1582,98051,879010,love
94,17994202,1258,295,1554,98049,876332,love
95,17804790,1231,238,1470,98109,867807,love
96,17619323,1284,241,1525,98047,875263,love
97,17437680,1314,331,1645,98110,787639,love
98,17259745,1279,359,1638,98146,878291,love
99,17085404,1231,240,1472,97898,841647,love
100,16914550,1356,246,1602,97958,877018,love